"1	","Rancho Cordova,  CA 95670"
"2	","San Leandro,  CA 94578"
"3	","Cicero,  IL 60804"
"4	","Friendswood,  TX 77546"
"5	","Starkville,  MS 39759"
"6	","Bonners Ferry,  ID 83805"
"7	","Longmont,  CO 80504"
"8	","Soulsbyville,  CA 95372"
"9	","Dayton,  OH 45431"
"10	","Virginia Beach,  VA 23464"
"11	","Florissant,  CO 80816"
"12	","Miami,  FL 33183"
"13	","Lynchburg,  VA 24502"
"14	","Bay Point,  CA 94565"
"15	","Anaheim,  CA 92807"
"16	","Deltona,  FL 32725"
"17	","Prineville,  OR 97754"
"18	","Gardena,  CA 90247"
"19	","Cedartown,  GA 30125"
"20	","Greenwood,  CA 95635"
"21	","Lawton,  OK 73501"
"22	","APO,  AE 09021"
"23	","Vancouver,  WA 98664-6400"
"24	","South Cle Elum,  WA 98943"
"25	","Fayetteville,  NC 28312"
"26	","Abington,  MA 02351"
"27	","Tallmadge,  OH 44278"
"28	","Folsom,  CA 95630"
"29	","San Antonio,  TX 78223"
"30	","San Antonio,  TX 78223"
"31	","FPO,  AP 96349-0005"
"32	","Fairfield,  CA 94533"
"33	","Fort Worth,  TX 76131"
"34	","Meridian,  ID 83646"
"35	","St. Paul,  NE 68873"
"36	","Cibola,  TX 78108"
"37	","Stacy,  MN 55079"
"38	","Coulter,  IA 50431"
"39	","Los Angeles,  CA 90022"
"40	","Everett,  WA 98208"
"41	","Topeka,  KS 66615"
"42	","Elgin,  TX 78621"
"43	","Janesville,  WI 53546"
"44	","Midlothian,  IL 60445"
"45	","Chula Vista,  CA 91913"
"46	","Eau Claire,  WI 54701"
"47	","San Rafael,  CA 94903"
"48	","Belleville,  IL 62221"
"49	","Egg Harbor City,  NJ 08215"
"50	","Munroe Falls,  OH 44262"
"51	","Jensen Beach,  FL 34957"
"52	","Springfield,  OR 97477"
"53	","Lafayette,  NJ 07848"
"54	","Tulsa,  OK 74134"
"55	","South Lyon,  MI 48178"
"56	","Boise,  ID 83705"
"57	","Lindenhurst,  IL 60046-7410"
"58	","Orcutt,  CA 93455"
"59	","Tulsa,  OK 74105"
"60	","Medina,  OH 44256"
"61	","Wildomar,  CA 92595"
"62	","Antioch,  CA 94531"
"63	","Lithonia,  GA 30058"
"64	","Ventura,  CA 93003"
"65	","Penn Yan,  NY 14527"
"66	","Pearland,  TX 77584"
"67	","Renton,  WA 98058"
"68	","Racine,  WI 53402"
"69	","Nathalie,  VA 24577"
"70	","Haywood,  CA 94544"
"71	","Sabinal,  TX 78881"
"72	","Cuba,  MO 65453"
"73	","Brighton,  CO 80603"
"74	","Elk Mound,  WI 54739"
"75	","Orange City,  IA 51041"
"76	","Fort Worth,  TX 76127"
"77	","Loleta,  CA 95551"
"78	","Jacksonville,  FL 32218"
"79	","Grants,  NM 87020"
"80	","Seattle,  WA 98133"
"81	","Haddon Heights,  NJ 08035"
"82	","Ladson,  SC 29456"
"83	","Lee's Summit,  MO 64081-4054"
"84	","Marion,  IL 62959"
